string,label
47階,0
シティコープ横浜阪東橋,1
１０階部分,0
ブルーライン利用で多方面へアクセス,0
シティコープ横浜阪東橋,1
カルム第2赤坂,1
日神パレステージ西麻布,1
ライオンズマンション白金第2,1
藤ビル,1
8階の三方角部屋,0
駅１分,0
リノベ済,0
ミリオンタワー虎ノ門,1
マリンシティダイヤモンドパレス,1
ライオンズマンション狩場A棟,1
保土ヶ谷グリーンタウン,1
シェトワ白金台,1
永谷ヒルプラザ六本木,1
朝日南麻布マンション,1
朝日南麻布マンション,1
南向きよりあなた向き,0
永谷ヒルプラザ六本木,1
フルリノベーション,0
永谷ヒルプラザ六本木,1
無休,0
早朝・深夜の内覧可,0
西麻布アネックス,1
西麻布アネックス,1
西麻布アネックス,1
日比谷線「広尾」駅徒歩６分,0
事務所利用可能♪即日入居可！,0
成約特典,0
西麻布アネックス１ＬＤＫ広尾駅徒歩６分,1
リノベ済,0
事務所利用可,0
西麻布アネックス,1
アーバンハイツ保土ヶ谷,1
グランシティ保土ヶ谷,1
ネオハイツ田町,1
三田綱町ハイツ,1
ネオハイツ田町,1
最上階,0
南東向き,0
角部屋,0
内装リノベ,0
マノア六本木,1
新規内装フルリノベーション済み,0
シャンボール白金,1
シャンボール白金,1
予約内覧会開催,0
大京穴吹不動産のおすすめ仲介マンション,0
パークシティ横濱,1
パークシティ横濱Ｄ棟,1
ミソラシア横浜桜ヶ丘,1
中銀南青山マンシオン,1
白金台ハウス,1
白金台ハウス,1
JR「目黒」駅利用可能な便利な立地,0
グランドメゾン南麻布,1
グランドメゾン南麻布,1
新価格,0
８階角部屋,0
日当り、眺望良好,0
ペット可,0
グランドメゾン南麻布,1
東京タワービューの角部屋,0
グランドメゾン南麻布,1
森が丘スカイハイツ,1
エクサージュ海岸,1
シャンボール三田,1
ペット可,0
大規模修繕,0
耐震補強工事実施済み,0
アンバサダー六本木,1
エスリード芝浦ベイサイド,1
シティタワー高輪,1
南青山パ－クマンション,1
ペット可,0
充実のリノベ－ションマンション新規家具付き,0
シティ麻布,1
コーヅ白金台「白金台駅」歩1分,1
目黒通りから入った立地,0
コーヅ白金台,1
三方角部屋,0
駅１分,0
新耐震基準,0
リノベ済,0
コーヅ白金台,1
無休,0
早朝・深夜の内覧可,0
コーヅ白金台,1
２ＬＤＫ,0
新価格,0
新耐震基準物件,0
リノベ済み,0
ＪＲ目黒駅徒歩圏,0
レイディアント上大岡サウスガーデン,1
レイディアント上大岡サウスガーデン,1
コーラル根岸,1
プリシード磯子,1
ディアクオーレ乃木坂,1
赤坂リキマンション,1
赤坂リキマンション,1
実質最上階で東南角部屋,0
LDK18帖,0
年末年始キャンペーン開催中,0
最上階,0
東南の角部屋,0
上質の赤坂フルリノベーション,1
赤坂リキマンション,1
エルフィーノ横濱根岸,1
パークホームズ南麻布ザレジデンス,1
マンションフロイント麻布,1
シティタワー品川,1
アロバール南青山,1
アロバール南青山,1
マンションフロイント麻布,1
ペット飼育可,0
西麻布フォレストプラザ,1
クレストプライムタワー芝,1
西麻布フォレストプラザ,1
西麻布フォレストプラザ,1
西麻布フォレストプラザ,1
芝浦アイランドグローヴタワー,1
さざなみ団地第1住宅11号棟,1
エステ・シティ湘南六浦弐番館,1
パルテール白金,1
フェイバリッチタワー品川,1
パルテール白金,1
２階,0
３LDK,0
パルテール白金,1
白金高輪駅,1
歩7分,0
内装リノベ,0
ペット可,0
パルテール白金,1
ツインミューズ富岡,1
ハイテラス金沢文庫,1
富岡ヒルズ,1
ハイテラス金沢文庫,1
TOKYO,1
SEA,1
SOUTH,1
ブランファーレ,1
パークタワー品川ベイワード,1
私は、品川のタワーマンションに住んでいます,0
パークタワー品川ベイワード,1
パークタワー品川ベイワード,1
パークタワー品川ベイワード,1
シャンボール妙蓮寺,1
第一チェリーハイツ,1
ＴＲＵＳＴ,1
ＲＥＮＯ,1
優雅で心地よい上質空間を,0
チュリス氷川坂,1
南青山マスターズハウス,1
藤和白金台コープ,1
最上１１階部分,0
陽当たり・眺望良好！,0
チュリス氷川坂,1
１ＬＤＫ,0
ヴィンテージ物件,1
新内装,0
角部屋,0
赤坂,0
チュリス氷川坂,1
フルリノベ・売主物件,0
最上階で陽当り良好,0
クイーンハイツ大倉山,1
南麻布ロイヤルハイツ,1
南麻布ロイヤルハイツ,1
南麻布ロイヤルハイツ,1
カテリーナ三田タワースイートイーストアーク,1
カテリーナ三田タワースイート,1
イーストアーク,1
コスモ綱島台第2棟,1
グローバルフロントタワー,1
グローバルフロントタワー,1
ＴＨＥ,1
ＴＯＷＥＲＳ,1
ＤＡＩＢＡ,1
パークナード南麻布,1
パークナード南麻布,1
パークナード南麻布,1
大京穴吹不動産のおすすめ仲介物,0
パークナード南麻布,1
大倉山フラット,1
ソフィア高輪,1
ソフィア高輪,1
パークコート麻布十番ザタワー,1
ソフィア高輪,1
クレストプライムタワー芝,1
グランドメゾン白金レジデンス,1
オーナーチェンジ,1
積水ハウス施工,1
エンゼルハイム大倉山第３,1
エンゼルハイム大倉山第３,1
エンゼルハイム大倉山第３,1
クオス妙蓮寺I,1
平成２６年２月築のマンションで東横線ライフを満喫出来ますね♪,0
最上階,0
コスモポリス品川,1
ワールドシティタワーズ,1
アクアタワー,1
エルズ新横浜,1
エルズ新横浜,1
エルズ新横浜,1
エルズ新横浜４階,1
東南角部屋の家具付き４ＬＤＫ,0
ペット飼育可能,0
駐車場１台継承可,0
プラウド白金台三丁目,1
パークコート虎ノ門愛宕タワー,1
パークコート虎ノ門愛宕タワー,1
赤坂タワーレジデンス,1
トップオブザヒル,0
クリオ新横浜ザ・ウエスト,1
ナイスアーバン日吉フロンテージ,1
パークハウス赤坂新坂,1
ザ・ウエストミンスター六本木,1
オリンピアード麻布霞坂,1
シティタワー麻布十番,1
パークコート赤坂ザ タワー,1
THE,1
ROPPONGI,1
TOKYO,1
CLUB,1
RESIDENCE,1
ザ六本木東京クラブレジデンス,1
芝浦アイランドグローヴタワー,1
柏木ハイツ,1
コスモシティ市ヶ谷,1
市ヶ谷グリーンハイツ,1
大京穴吹不動産のリノベーションマンション,0
牛込ハイム,1
トーア早稲田マンション,1
新宿第一コーポ,0
スカイコート市ヶ谷,1
サンパーナ上落合,1
パークウェルツインズ西新宿サウスピア,1
サンセール新宿,1
ダイナシティ西新宿,1
4階住戸,0
レガリアレジデンス早稲田イクス,1
マンション高田馬場,1
サンパーナ上落合,1
落合マンション,1
高田馬場マンション,1
パレ・ウルー,1
ご成約特典,0
「四谷三丁目」駅徒歩５分の好立地,0
コムロンド四谷荒木町,1
ライオンズガーデン新宿,1
四谷コーエイマンション,1
年末年始は家族で家を見に行こう,0
コムロンド四谷荒木町,1
シティインデックス新宿若松町,1
パークプリエ神楽坂,1
第２市ヶ谷マンション,1
リレント新宿,1
近鉄柏木ハイツ,1
ＡＰＡガーデンズ新宿戸山公園,1
天然温泉付マンション,1
近鉄柏木ハイツ,1
駅6分,0
3駅3路線利用可,0
リノベ済,0
メゾンランジェ早稲田,1
南東角部屋,0
日当たり,0
風通し良好です,0
マートルコート新宿ガーデンハウス,1
マートルコート新宿ガーデンハウス ,1
メゾンランジェ早稲田,1
１LDK,0
南東角部屋,0
新内装,0
「早稲田」駅歩７分,0
リーベスト東戸塚,1
☆グランドハイツ落合,1
24時間365日,0
当日もご内覧可能,0
キャッスルマンション目白西,1
レックス西早稲田,1
レクセル下落合第２,1
早稲田スカイマンション,1
早稲田スカイマンション,1
３ＬＤＫ,0
新規内装,0
３方角部屋,0
神楽坂,0
徒歩圏,0
早稲田スカイマンション,1
３方角部屋,0
日当、眺望良好,0
港南台めじろ団地,1
人気の前半棟,0
野庭グリーンハイツ,1
ステキな家具に囲まれた,0
上質なリフォーム済み住戸誕生,0
戸山ハイツ,1
戸山ハイツ,1
２ＳＬＤＫ,0
ペット可,0
「西早稲田」駅徒歩５分,0
戸山ハイツ◇ペット可,1
スカイツリーや戸山公園の緑を望める快適な生活,0
11/11フルリノベーション完成,0
13階眺望良好,0
戸山ハイツ,1
オーベルアーバンツ神楽坂,1
グランベル西早稲田プレシャス,1
野庭団地608-7,1
野庭団地,1
野庭団地,1
608-7号棟,0
DOM神楽坂,1
クリオ新宿戸山壱番館,1
高田馬場ハイツ,1
内覧予約受付中,0
カーサ第二新宿＝,1
セレビア新宿御苑前,1
コンドミニアム港南台,1
コンドミニアム港南台,1
エム・ブランド新宿戸山公園,1
西戸山タワーホームズセントラルタワー,1
西戸山タワーホウムズセントラルタワー,1
24時間管理,0
セキュリティ良好,0
アイタウン・レピア,1
ローゼンハイム,1
希望ヶ丘第二コーポラスＣ棟,1
クリオ二俣川参番館,1
旭区白根8丁目マンション,1
日神パレステージ鶴ヶ峰,1
エクラン早稲田夏目坂,1
3駅3路線利用できるお住まいです,0
ベネヴィータ市ヶ谷銀杏坂,1
☆ベネヴィータ市ヶ谷銀杏坂,1
年末年始は家族で家を見に行こう,0
エクラン早稲田夏目坂,1
プレミスト神楽坂,1
ビューネ高田馬場,1
ビューネ高田馬場,1
１２階,0
なんと４方角,0
陽当り＆風通し良好です,0
ローレルコート新宿タワー,1
ローレルコート新宿タワー,1
レクセル高田馬場,1
コンシェリア西新宿タワーズウエスト,1
広めの1LDK,0
書斎付・黒川記章設計,0
THE,1
HILLS,1
市谷薬王寺,1
ライオンズ外苑の杜,1
6路線4駅利用可・平成２５年３月築・ハウスクリーニング引渡し,0
ライオンズ四谷タワーゲート,1
プラウド市ヶ谷南町ディアージュ,1
コンシェリア西新宿ＴＯＷＥＲ’Ｓ,1
ＷＥＳＴ,1
グランドメゾン新宿弁天町,1
富久クロスコンフォートタワー,1
平成27年4月築,0
53階部分,0
2LDK,0
マイキャッスル横浜白山,1
駅徒歩9分,0
最上階角部屋でプライベート感,0
解放感ある暮らし,0
本郷シャトル,1
サンテミリオン江戸川橋,1
パレス御茶ノ水2号館,1
パレス御茶ノ水2号館,1
ライオンズマンション本郷,1
クレッセント小石川植物園,1
パークハウス市谷砂土原町レフィナール,1
クレッセント十日市場,1
クレッセント十日市場 新規リフォーム♪,1
マンション小石川,1
マンション小石川,1
マンション小石川,1
大京穴吹不動産のおすすめリノベーション物件,0
マンション小石川,1
成約特典,0
小石川コーポビアネーズ,1
１ＬＤＫ,0
大規模修繕工事済,0
リノベ済,0
クレストフォルム本郷台,1
ダイアパレスワンダースケープ,1
ダイアパレスワンダースケープ,1
コスモ戸塚リベラヒルズＡ棟,1
ＴＲＵＳＴ－ＲＥＮＯ,1
優雅で心地よい上質空間を,0
ドミール千駄木,1
窪田光建ハイム湯島,1
窪田光建ハイム湯島,1
朝日動坂マンション,1
みやこガーデンローリエ館,1
みやこガーデンキャメリア館,1
A,1
plus,1
de,1
points,1
de,1
la,1
maison,1
グレーシアパーク山手台EAST弐番館,1
ライオンズマンション相鉄いずみ野,1
ミリオンガーデン小石川,1
ボヌール目白台,1
平成8年築,0
オートロック有,0
リノベ済,0
朝日千駄木マンション,1
シルバーパレス千駄木,1
ヒカリメゾン青葉台,1
すすき野第2団地8街区,1
1階,0
現在、空室,0
室内大変綺麗です♪,0
六義園マンション,1
２LDK,0
駒込駅３分,0
三方角部屋,0
２面バルコニー,0
六義園マンション,1
ヴィラージュ白山,1
アクシア文京本駒込,1
シーアイマンション本郷向丘,1
文京目白台ハイツ,1
湯島ハイタウン,1
フォレスト・ヒルズ千駄木,1
藤和シティホームズ,1
朝日白山マンション,1
シティ本郷菊坂,1
シティ本郷菊坂,1
ハイシティ文京,1
リフォーム済,0
パティオ千石,1
宝生ハイツ,1
宝生ハイツ,1
水道橋宝生ハイツ,1
駅徒歩１分,0
2面採光,0
全室6帖以上,0
宝生ハイツ,1
宝生ハイツ,1
スクワーバ見樹院,1
後楽園至近のマンション,0
レジデンシア春日安藤坂,1
クリオ文京音羽,1
サンウッド目白台,1
サンウッド目白台,1
椿山荘200m,1
閑静な住宅街,0
ブランズタワー文京小日向,1
ヒルズ目白坂,1
最上階,0
角部屋,0
全居室6帖以上,0
南東向き,0
グランシーナ目白台,1
サンウッド文京開運坂上,1
ブランズ文京小石川,1
パークハウス小石川,1
"眺望でスカイツリーがご覧になれる""7階部角住戸",0
レジェンド浅草,1
レジェンド浅草,1
☆この眺望を選んで本当に良かったと思えるお部屋を,0
ライオンズマンション日暮里第2,1
入谷松が谷マンション,1
610,0
入谷松が谷マンション,1
年末年始は家族で家を見に行こう,0
入谷松が谷マンション,1
ライオンズ蔵前レジデンス,1
ライオンズマンション浅草三社,1
ライオンズマンション浅草三社,1
ライオンズマンション浅草三社,1
駅5分,0
眺望良好な5階の東南向き住戸,0
☆おひさまも良くあたり,0
お部屋からの眺めがステキな物件です,0
エクレール入谷,1
ご成約特典,0
三ノ輪駅徒歩6分,1
3方角部屋,0
陽当り・眺望・風通良好,0
エクレール入谷,1
浅草コーポ,1
3方角部屋,0
3面バルコニー,0
南向きよりあなた向き,0
ダイカンプラザ上野II号館,1
『上野駅』徒歩８分,0
ダイカンプラザ上野２号館,1
新規内装,0
新耐震,0
「上野」駅徒歩８分,0
まだ住める家から,0
住みたくなる家に,0
ダイカンプラザ上野II号館,1
ダイカンプラザ上野II号館,1
ダイカンプラザ上野2号館,1
ゴールドパレス21,1
陽当良好の南西角部屋♪,0
クリオ元浅草,1
クリオ元浅草,1
クリオ元浅草,1
クリオ元浅草,1
藤和シティコープ入谷,1
藤和シティコープ入谷,1
年末年始は家族で家を見に行こう,0
サンクレスト竜泉,1
サンクレスト竜泉,1
藤和ハイタウン上野,1
イニシア浅草,1
藤和ハイタウン上野,1
☆スパシエ上野ステーションプラザ,1
年末年始も営業中,0
スパシエ上野ステーションプラザ,1
ルフォンリブレ浅草寿,1
コートプラザ上野松が谷,1
アシェール上野北,1
アシェール上野北,1
全部屋リノベーション済み,0
素敵な家具付でそのまま住めます,0
アシェール上野北,1
アシェール上野北,1
1001,0
クリオ蔵前壱番館,1
ペットと暮らせるお部屋,0
芸術や自然の美しさに触れる街,0
シーアイマンション上野,1
アスコットパーク上野,1
南・西・北の３方向角部屋,0
アスコットパーク上野,1
ライオンズ蔵前レジデンス,1
シティハウス新御徒町ステーションコート,1
ザ・パークハウス上野池之端レジデンス,1
「浅草駅」徒歩3分,0
２５階のお部屋から見る夜景は絶景,0
浅草タワー,1
大江戸タワーレジデンス,1
ニュー両国サンハイツ,1
駅徒歩６分の好立地,0
角部屋,0
ニュー両国サンハイツ,1
１ＬＤＫ,0
新規内装,0
角部屋,0
大規模修繕済み,0
シーアイマンションあずま百樹園,1
両国ダイヤハイツ,1
東和パークハイツ墨田,1
両国ダイヤハイツ,1
年末年始は家族で家を見に行こう,0
東和パークハイツ墨田,1
両国ダイヤハイツ,1
１ＬＤＫ,0
新規内装,0
家具付き,0
「両国」駅徒歩３分,0
東和パークハイツ墨田,1
ライオンズマンション緑,1
ル・リオン八広グランドコート,1
グリーンコーポ駒形,1
浅草線「本所吾妻橋」駅徒歩３分,0
日当り良好,0
家具付き,0
グリーンコーポ駒形,1
無休・早朝・深夜の内覧可,0
☆グリーンコーポ駒形,1
年末年始は家族で家を見に行こう,0
グリーンコーポ駒形,1
グリーンコーポ駒形,1
ベルグレードＲ３８５,1
ＡＸＡＳ墨田アジールコート,1
ライオンズマンション向島第2,1
ライジングプレイス向島,1
レクシオ向島,1
フルリノベーション済み,0
森下駅近3分,0
泰地マンション両国,1
泰地マンション両国,1
家具付販売,0
ビクトリアハイム東向島,1
プレール・ドゥーク蔵前,1
菊川パークホームズ,1
アデニウム押上,1
ドマーニ両国,1
２ＬＤＫ,0
Ｈ１５築,0
南向き角部屋,0
「森下」歩４分,0
日神パレステージ曳舟,1
アイル東京向島弐番館,1
ベルク両国,1
錦糸町ローヤルコーポ,1
アデニウム押上アーバンイースト,1
犬・猫２匹まで飼育可,0
東南角部屋,0
築４年,0
アデニウム押上アーバンイースト,1
ダイアパレス本所,1
アスコットパーク菊川,1
クレヴィア両国,1
JR総武線「亀戸」駅まで徒歩2分,0
ファミリーさんへお勧め,0
3DKマンション,0
ハイネス亀戸,1
サンハイツ千田,1
北砂四丁目住宅,1
北砂４丁目住宅,1
北砂四丁目住宅,1
ハーモニーレジデンス門前仲町,1
亀戸パークハイツ,1
室内新規フルリノベーション,0
広々ルーフバルコニー,0
南砂住宅8号棟,1
フドウ東陽町ハイツ,1
ご成約特典,0
総戸数291戸のビックコミュニティ,0
トーア辰巳マンション,1
グランズ亀戸,1
亀戸ハイツ,1
ツインシティ弐番館アルス東砂,1
南砂四丁目住宅,1
ご成約特典,0
南砂四丁目住宅,1
３ＬＤＫ,0
南向き,0
南砂町駅徒歩７分,0
南砂四丁目住宅,1
南砂四丁目住宅◆,1
クレスト木場公園,1
２LDK,0
新価格,0
新規内装,0
木場公園隣接,0
５路線利用可,0
南砂住宅,0
２号棟,0
ニューパークハイツ,1
南砂町グリーンハイツ,1
１号棟,0
恒陽千石マンション,1
☆恒陽千石マンションB棟,1
年末年始は家族で家を見に行こう,0
☆東砂三丁目ハイツ7号棟,1
年末年始は家族で家を見に行こう,0
東陽町ガーデニアD棟,1
住宅ローン減税利用可,0
成約特典,0
グレイス大島,1
３ＬＤＫ,0
嬉しい家具付き販売,0
日当たり良好,0
グレイス大島,1
マンション亀戸天神ガーデニア,1
グレイス大島,1
牡丹町住宅,1
グリーンパーク南砂,1
豊洲ハイツ,1
トーカンマンション大島,1
ご成約特典,0
大島サンハイツ,1
３ＤＫ,0
大島駅徒歩９分,0
ペット可,0
新耐震基準,0
大島サンハイツ,1
大島サンハイツ,1
大島サンハイツ,1
トーカンマンション大島,1
Ｃ棟,0
ツインシティ東砂アネックス,1
ツインシティ東砂アネックス,1
コスモシティ北砂,1
ライオンズプラザ西大島,1
ヴェラハイツ扇橋,1
コープ野村亀戸,1
コスモ東京ベイフォート,1
コスモ東京ベイフォート,1
３ＬＤＫ,0
新規内装,0
築浅,0
大規模修繕済み,0
コスモ東京ベイフォート,1
セザール亀戸,1
7階部分,0
陽当り眺望良好の角住戸,0
コスモ大島グランコート,1
ブリリア有明スカイタワー,1
Brillia,1
有明,1
Sky,1
Tower,1
キャピタルガーデン東大島,1
クワイエ,1
ルネプライディア,1
都内で理想の眺望望める,0
アクアマークス,1
シティハウス東陽町プロッシモ,1
ティスタ西大島セープコート,1
ルネ・グランマリーナ潮見,1
清澄白河駅徒歩１分,0
クレール清澄公園,1
半蔵門線・都営大江戸線利用可,0
コープ南砂,1
ランジュ２０００大島♪,1
Brillia,1
有明,1
City,1
Tower,1
7階住戸,0
亀戸レジデンス,1
豊洲ハイライズ,1
亀戸レジデンス,1
BeCITYベイウイング,1
Brillia有明CityTower,1
ライオンズステーションプラザ西大島,1
プレミストベイフォートスクエア豊洲,1
アルファスシティ大島,1
ルーフバルコニー付,1
９０m2超えの４ＬＤＫ,0
アルファスシティ大島,1
コスモ大島ロイヤルフォルム,1
ルネプライディア,1
ブリリア有明スカイタワー,1
Brillia,1
有明,1
Sky,1
Tower,1
ザ・ガーデンタワーズ,1
サンライズタワー,1
Brillia有明CityTower,1
ブランズ大島,1
